date,city,avg_temp_f,temp_delta_f,energy_consumption
2025-05-18,New York,44.06,2.1600000000000037,335171
2025-05-18,New York,44.06,2.1600000000000037,323162
2025-05-18,New York,44.06,2.1600000000000037,324353
2025-05-18,New York,44.06,2.1600000000000037,324981
2025-05-18,New York,44.06,2.1600000000000037,323644
2025-05-18,New York,44.06,2.1600000000000037,323162
2025-05-18,New York,44.06,2.1600000000000037,-27084
2025-05-18,New York,44.06,2.1600000000000037,-26998
2025-05-18,New York,44.06,2.1600000000000037,-27086
2025-05-18,New York,44.06,2.1600000000000037,-27106
2025-05-18,New York,44.06,2.1600000000000037,-27084
2025-05-19,New York,42.8,3.240000000000002,352738
2025-05-19,New York,42.8,3.240000000000002,352838
2025-05-19,New York,42.8,3.240000000000002,352986
2025-05-19,New York,42.8,3.240000000000002,352751
2025-05-19,New York,42.8,3.240000000000002,352738
2025-05-19,New York,42.8,3.240000000000002,340037
2025-05-19,New York,42.8,3.240000000000002,340052
2025-05-19,New York,42.8,3.240000000000002,340077
2025-05-19,New York,42.8,3.240000000000002,340031
2025-05-19,New York,42.8,3.240000000000002,340037
2025-05-19,New York,42.8,3.240000000000002,323415
2025-05-19,New York,42.8,3.240000000000002,323415
2025-05-19,New York,42.8,3.240000000000002,323092
2025-05-19,New York,42.8,3.240000000000002,323415
2025-05-19,New York,42.8,3.240000000000002,323415
2025-05-19,New York,42.8,3.240000000000002,-29894
2025-05-20,New York,42.44,3.240000000000002,345052
2025-05-20,New York,42.44,3.240000000000002,345178
2025-05-20,New York,42.44,3.240000000000002,345213
2025-05-20,New York,42.44,3.240000000000002,345125
2025-05-20,New York,42.44,3.240000000000002,345052
2025-05-20,New York,42.44,3.240000000000002,338462
2025-05-20,New York,42.44,3.240000000000002,322432
2025-05-20,New York,42.44,3.240000000000002,322668
2025-05-20,New York,42.44,3.240000000000002,323415
2025-05-20,New York,42.44,3.240000000000002,322472
2025-05-20,New York,42.44,3.240000000000002,322432
2025-05-21,New York,41.72,1.7999999999999972,370697
2025-05-21,New York,41.72,1.7999999999999972,370244
2025-05-21,New York,41.72,1.7999999999999972,370021
2025-05-21,New York,41.72,1.7999999999999972,370469
2025-05-21,New York,41.72,1.7999999999999972,370697
2025-05-21,New York,41.72,1.7999999999999972,339101
2025-05-21,New York,41.72,1.7999999999999972,337665
2025-05-21,New York,41.72,1.7999999999999972,336845
2025-05-21,New York,41.72,1.7999999999999972,338543
2025-05-21,New York,41.72,1.7999999999999972,339101
2025-05-21,New York,41.72,1.7999999999999972,-31596
2025-05-21,New York,41.72,1.7999999999999972,-32579
2025-05-21,New York,41.72,1.7999999999999972,-33176
2025-05-21,New York,41.72,1.7999999999999972,-31926
2025-05-21,New York,41.72,1.7999999999999972,-31596
2025-05-22,New York,40.91,0.5399999999999991,374864
2025-05-22,New York,40.91,0.5399999999999991,374612
2025-05-22,New York,40.91,0.5399999999999991,374452
